,Unnamed: 0,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,TraingOrders,TrainGridSearch,TrainBenchmark,TestOrders,TestGridSearch,TestBenchmark
832,832,2019-07-01,10796.93,11206.44,10089.31,10583.13,10583.13,29378589324,BTC,10778.164,7229.708364328134,14326.619635671868,0.4725184671833901,85.88642813344418,10778.164,-0.0180952896986908,9320.35,10583.13,0.1354863283031,,642517.3200000001,389333.68,,500000.0,500000.0
833,833,2019-07-02,10588.68,10912.19,9737.88,10801.68,10801.68,31015895223,BTC,10876.919333,7540.508702565804,14213.329963434197,0.4887245094603047,82.13403793434074,10876.919333,-0.00691733851254443,9081.76,10801.68,0.18938179383729997,,634649.52,397201.48,,500000.0,500000.0
834,834,2019-07-03,10818.16,11968.08,10818.16,11961.27,11961.27,30796494294,BTC,11068.886667,7993.094900752765,14144.678433247236,0.6450656287582163,81.22937158191026,11068.886667,0.08062087541834617,9273.52,11961.27,0.2898306144808,,592904.28,438946.72000000003,,500000.0,500000.0
835,835,2019-07-04,11972.72,12006.08,11166.57,11215.44,11215.44,25920294033,BTC,11198.348,8507.523304534741,13889.172695465259,0.5031759779871214,77.97981757390554,11198.348,0.00152629655731363,9527.16,11215.44,0.1772070585568,,619754.1599999999,412096.84,,500000.0,500000.0
836,836,2019-07-05,11203.1,11395.66,10874.96,10978.46,10978.46,23838480210,BTC,11295.101333,8974.33952487135,13615.863141128651,0.4317807342634345,73.24907437105372,11295.101333,-0.02803350971937668,10144.56,10978.46,0.0822016923356,,628285.4400000001,403565.55999999994,,500000.0,500000.0
837,837,2019-07-06,10982.54,11620.96,10982.54,11208.55,11208.55,21092024306,BTC,11366.034,9246.776004662275,13485.291995337722,0.4628445426780367,68.29605147844761,11366.034,-0.013855668564778179,10701.69,11208.55,0.047362612821,,620002.2,411848.8,,500000.0,500000.0
838,838,2019-07-07,11217.62,11541.62,11148.8,11450.85,11450.85,19369044277,BTC,11415.978,9369.49346863617,13462.462531363828,0.5085199764438878,64.0069278638544,11415.978,0.0030546660128462104,10855.37,11450.85,0.054855799479900005,,611279.3999999999,420571.60000000003,,500000.0,500000.0
839,839,2019-07-08,11446.6,12345.83,11393.37,12285.96,12285.96,23482551458,BTC,11511.350667,9417.333362073552,13605.367971926451,0.6849577200669806,62.005996267673936,11511.350667,0.06729091619288433,11011.1,12285.96,0.1157795315636,,581215.4400000001,450635.55999999994,,500000.0,500000.0
840,840,2019-07-09,12284.33,12779.13,12233.26,12573.81,12573.81,28167921523,BTC,11615.531332999999,9414.385478003434,13816.677187996567,0.7176772304353938,60.79377043779986,11615.531332999999,0.0824997703099046,11790.92,12573.81,0.066397702639,,570852.8400000001,460998.16,,500000.0,500000.0
841,841,2019-07-10,12571.54,13129.53,11710.98,12156.51,12156.51,33627574244,BTC,11639.904,9402.120019278384,13877.687980721616,0.6154280315818085,58.43814729585475,11639.904,0.04438232480267878,13016.23,12156.51,-0.0660498469987,,585875.64,445975.36,,500000.0,500000.0
842,842,2019-07-11,12139.71,12144.62,11158.92,11358.66,11358.66,28595327690,BTC,11529.399333,9599.88456421115,13458.914101788847,0.4557558885368957,54.3686835950088,11529.399333,-0.014809039748610468,11182.81,11358.66,0.015725027967,,614598.24,417252.76,,500000.0,500000.0
843,843,2019-07-12,11354.3,11905.49,11179.14,11815.99,11815.99,23534692797,BTC,11571.611332999999,9652.90787097973,13490.314795020271,0.5636832819237956,54.385024031810666,11571.611332999999,0.02111881050680291,12407.33,11815.99,-0.0476605361508,,598134.36,433716.64,,500000.0,500000.0
844,844,2019-07-13,11813.13,11841.96,10908.48,11392.38,11392.38,21042616384,BTC,11503.948,9712.597129444484,13295.298870555514,0.4688592553715055,51.36762531730288,11503.948,-0.00969823577088492,11959.37,11392.38,-0.047409687968499994,,613384.3200000001,418466.68,,500000.0,500000.0
845,845,2019-07-14,11381.02,11451.2,10234.58,10256.06,10256.06,22486000001,BTC,11390.394,9402.345610810238,13378.442389189764,0.21471167247033066,46.38740821999207,11390.394,-0.0995868975208408,10817.16,10256.06,-0.0518712859937,,654291.8400000001,377559.16,,500000.0,500000.0
846,846,2019-07-15,10257.84,11052.77,9992.01,10895.09,10895.09,25384047207,BTC,11395.589333,9421.11607194602,13370.06259405398,0.3732575054643102,45.20412171036372,11395.589333,-0.04392044310956568,10583.13,10895.09,0.0294771017648,,631286.76,400564.24,,500000.0,500000.0
847,847,2019-07-16,10896.65,10996.63,9448.11,9477.64,9477.64,24151199070,BTC,11321.89,8916.355969169068,13727.42403083093,0.1166651611735981,42.660161956360476,11321.89,-0.16289241460568865,10801.68,9477.64,-0.12257722872739998,,682314.96,349536.04,,500000.0,500000.0
848,848,2019-07-17,9471.21,9963.13,9163.13,9693.8,9693.8,24569921549,BTC,11248.031332999999,8552.845092308753,13943.217573691247,0.21166531842315653,40.211320741598875,11248.031332999999,-0.13817807641059138,11961.27,9693.8,-0.18956766296560001,,674533.2,357317.8,,500000.0,500000.0
