,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume
1176,2017-12-06,11923.40,14369.10,11923.40,14291.50,14291.50,,BTC,10260.376000,6895.129893340253,13625.622106659746,1.0989345017029357,98.9647942954630670000,10260.376000,0.39288267798373081,8253.55,14291.50,0.7315579356762,2017-12-06,0.010416667,0.0069444445,0.9826389,0.1133229,288
1177,2017-12-07,14266.10,17899.70,14057.30,17899.70,17899.70,,BTC,10903.452667,5895.864386660041,15911.040947339958,1.1985645525679116,98.9647942954630670000,10903.452667,0.64165430406962668,8038.77,17899.70,1.2266714932757,2017-12-07,0.020050125,0.010025063,0.9699248,0.1155288,399
1178,2017-12-08,17802.90,18353.40,14336.90,16569.40,16569.40,,BTC,11472.161333,5947.905713095221,16996.41695290478,0.9613507246690244,98.6669915305802670000,11472.161333,0.44431371901453715,8253.69,16569.40,1.0075142148542,2017-12-08,0.023879673,0.009115621,0.96514904,0.1309714,61433
1179,2017-12-09,16523.30,16783.00,13674.90,15178.20,15178.20,,BTC,11933.795333,6404.897841115763,17462.692824884238,0.7934043063524329,96.6751404447780670000,11933.795333,0.27186696071688026,8790.92,15178.20,0.7265769680534,2017-12-09,0.025308045,0.009543368,0.9633365,0.1405799,33112
1180,2017-12-10,15168.40,15850.60,13226.60,15455.40,15455.40,,BTC,12378.094000,6860.499010085331,17895.688989914666,0.778862983385411,94.7735127065154000000,12378.094000,0.24860903463812765,9330.55,15455.40,0.6564296852811,2017-12-10,0.008,0.0,0.992,0.165036,250
1181,2017-12-11,15427.40,17513.90,15404.80,16936.80,16936.80,,BTC,12885.177333,7173.265868777853,18597.088797222146,0.854664344184802,93.9791734768900000000,12885.177333,0.31444058256175185,9818.35,16936.80,0.7250148955782,2017-12-11,0.0066225166,0.0,0.9933775,0.1981192,302
1182,2017-12-12,16919.80,17781.80,16571.60,17415.40,17415.40,,BTC,13391.647333,7500.720323327941,19282.574342672062,0.8415211782792057,93.5761488364644670000,13391.647333,0.30046734109287494,10058.80,17415.40,0.7313596055195,2017-12-12,0.025547445,0.0,0.97445256,0.1895803,274
1183,2017-12-13,17500.00,17653.10,16039.70,16408.20,16408.20,,BTC,13814.940667,8039.014431586243,19590.86690241376,0.724488612501665,92.3349527778340670000,13814.940667,0.18771411296717081,9888.61,16408.20,0.6593029758480,2017-12-13,0.049792532,0.0,0.9502075,0.1795975,241
1184,2017-12-14,16384.60,17085.80,16185.90,16564.00,16564.00,,BTC,14259.966667,8758.404131207275,19761.529202792728,0.7093980862718675,91.5869841653860000000,14259.966667,0.16157354268800129,10233.60,16564.00,0.6185897435897,2017-12-14,0.040816326,0.0040816325,0.955102,0.1935918,245
1185,2017-12-15,16601.30,18154.10,16601.30,17706.90,17706.90,,BTC,14758.186667,9469.883144337036,20046.490189662964,0.7787957726294761,91.4013523383856000000,14758.186667,0.19980187265102574,10975.60,17706.90,0.6132967673749,2017-12-15,0.008547009,0.0,0.991453,0.0946368,234
