,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,multiplier,on_balance_volume,window_start_price,window_end_price,momentum
556,2018-09-28,6678.75,6785.03,6598.32,6644.13,6644.13,5014430000,BTC,62.6749311294765000000,6544.608000,0.01520671673536444,-1,213815697264,6512.71,6644.13,0.0201790038248
557,2018-09-29,6643.10,6643.10,6511.65,6601.96,6601.96,4363690000,BTC,71.2418732782367500000,6550.558000,0.00784696509824049,-1,209452007264,6543.20,6601.96,0.0089803154420
558,2018-09-30,6604.71,6643.78,6566.54,6625.56,6625.56,4002280000,BTC,78.4352617079890000000,6556.048667,0.01060262614429430,1,213454287264,6517.18,6625.56,0.0166298920699
559,2018-10-01,6619.85,6653.30,6549.08,6589.62,6589.62,4000970000,BTC,73.6347107438017500000,6560.878000,0.00438081610418606,-1,209453317264,6281.20,6589.62,0.0491020824046
560,2018-10-02,6593.24,6611.84,6537.90,6556.10,6556.10,3979260000,BTC,66.3430910734787500000,6579.204667,-0.00351177204075874,-1,205474057264,6371.30,6556.10,0.0290050696090
561,2018-10-03,6553.86,6571.46,6454.03,6502.59,6502.59,3887310000,BTC,56.4027439321387500000,6587.957333,-0.01295808832464398,-1,201586747264,6398.54,6502.59,0.0162615221597
562,2018-10-04,6497.91,6603.31,6497.91,6576.69,6576.69,3838410000,BTC,48.7147522699412500000,6599.834000,-0.00350675486686483,1,205425157264,6519.67,6576.69,0.0087458414306
563,2018-10-05,6574.15,6623.62,6557.41,6622.48,6622.48,3671500000,BTC,46.9751385980537500000,6606.688000,0.00239030509689575,1,209096657264,6734.95,6622.48,-0.0166994558237
564,2018-10-06,6622.45,6628.54,6577.80,6588.31,6588.31,3259740000,BTC,47.1412912181890000000,6596.912000,-0.00130394342080052,-1,205836917264,6721.98,6588.31,-0.0198855099242
565,2018-10-07,6590.68,6641.49,6557.04,6602.95,6602.95,3306630000,BTC,54.2181176282917500000,6588.976667,0.00212071368684360,1,209143547264,6710.63,6602.95,-0.0160461834433
566,2018-10-08,6600.19,6675.06,6576.04,6652.23,6652.23,3979460000,BTC,65.2711298116800000000,6585.083333,0.01019678318473301,1,213123007264,6595.41,6652.23,0.0086150823072
567,2018-10-09,6653.08,6661.41,6606.94,6642.64,6642.64,3580810000,BTC,71.3148054447875000000,6588.232000,0.00825836127203778,-1,209542197264,6446.47,6642.64,0.0304306077590
