,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
953,2019-10-30,9422.46,9426.87,9085.37,9205.73,9205.73,27706531577,BTC,2019-10-30,0.06550661,0.023018118,0.906576,0.2339321,23677.0,148.315688237848,-45.921073155520006,194.236761393368
954,2019-10-31,9202.46,9383.16,9028.72,9199.58,9199.58,26583653947,BTC,2019-10-31,0.0945812,0.019027233,0.881278,0.2522976,25227.0,169.6859498114536,-2.7996685621252717,172.4856183735789
955,2019-11-01,9193.99,9275.66,9132.05,9261.10,9261.10,24324691031,BTC,2019-11-01,0.08146841,0.02014116,0.8934412,0.2258184,23236.0,189.4028675706977,35.640838664439336,153.76202890625837
956,2019-11-02,9259.78,9377.49,9249.59,9324.72,9324.72,21242676385,BTC,2019-11-02,0.090039544,0.02297745,0.88051724,0.24399,18714.0,207.76725763767718,70.06612245908691,137.70113517859028
957,2019-11-03,9324.79,9379.81,9141.25,9235.35,9235.35,21132220847,BTC,2019-11-03,0.07883312,0.022924608,0.8926302,0.206034,18888.0,212.65836372847116,98.58457071296377,114.07379301550739
958,2019-11-04,9235.61,9505.05,9191.49,9412.61,9412.61,26170255634,BTC,2019-11-04,0.07056642,0.021256438,0.90438724,0.2124727,24275.0,228.20736862891135,124.5091302961533,103.69823833275805
959,2019-11-05,9413.00,9457.42,9256.93,9342.53,9342.53,26198609048,BTC,2019-11-05,0.07179151,0.022209473,0.9016555,0.248578,24404.0,232.1985563015769,146.04701549723805,86.15154080433885
960,2019-11-06,9340.86,9423.24,9305.91,9360.88,9360.88,23133895765,BTC,2019-11-06,0.08197153,0.020119486,0.8931207,0.2438638,22764.0,234.143235460484,163.66625948988724,70.47697597059675
961,2019-11-07,9352.39,9368.48,9202.35,9267.56,9267.56,22700383839,BTC,2019-11-07,0.07458803,0.019124024,0.90130097,0.2386092,23060.0,225.55421502417994,176.04385059674578,49.510364427434155
962,2019-11-08,9265.37,9272.76,8775.53,8804.88,8804.88,24333037836,BTC,2019-11-08,0.074216254,0.020857325,0.9001066,0.2090064,23445.0,179.34556123477887,176.70419272435242,2.641368510426446
963,2019-11-09,8809.47,8891.82,8793.16,8813.58,8813.58,17578630606,BTC,2019-11-09,0.07851368,0.024927447,0.892102,0.2354012,19296.0,141.79239303812756,169.72183278710747,-27.929439748979917
964,2019-11-10,8812.49,9103.83,8806.16,9055.53,9055.53,20587919881,BTC,2019-11-10,0.07433474,0.024966609,0.89551014,0.2505092,19466.0,130.0553821371832,161.78854265712263,-31.733160519939446
965,2019-11-11,9056.92,9081.28,8700.61,8757.79,8757.79,20265510765,BTC,2019-11-11,0.0733055,0.018827766,0.90299606,0.2416513,24432.0,95.6262666776147,148.55608746122104,-52.929820783606345
966,2019-11-12,8759.75,8853.77,8685.43,8815.66,8815.66,20309769107,BTC,2019-11-12,0.06918103,0.018534483,0.9076724,0.2371379,23200.0,72.17854070014437,133.28057810900572,-61.10203740886135
967,2019-11-13,8812.03,8836.84,8761.65,8808.26,8808.26,17545755405,BTC,2019-11-13,0.069605775,0.021706956,0.9047854,0.2238956,22297.0,52.39495435654135,117.10345335851284,-64.70849900197149
968,2019-11-14,8811.94,8826.94,8692.55,8708.09,8708.09,19084739975,BTC,2019-11-14,0.07924952,0.02184042,0.89321077,0.2285483,24038.0,28.30713081831709,99.34418885047369,-71.0370580321566
969,2019-11-15,8705.71,8730.87,8484.84,8491.99,8491.99,21796856471,BTC,2019-11-15,0.07374045,0.021945512,0.8996335,0.2149554,22647.0,-8.126430424659702,77.85006499544701,-85.97649542010672
970,2019-11-16,8491.17,8592.00,8473.97,8550.76,8550.76,16495389808,BTC,2019-11-16,0.07981272,0.019925958,0.8976481,0.2368451,18368.0,-31.89042934238023,55.901966127881565,-87.7923954702618
971,2019-11-17,8549.47,8727.79,8500.97,8577.98,8577.98,18668638897,BTC,2019-11-17,0.08311675,0.016655175,0.89651513,0.2196502,18853.0,-47.97412730535325,35.1267474412346,-83.10087474658785
972,2019-11-18,8573.98,8653.28,8273.57,8309.29,8309.29,21579470673,BTC,2019-11-18,0.075091965,0.019407213,0.9016109,0.2051442,23651.0,-81.46256158055621,11.808885636876429,-93.27144721743264
973,2019-11-19,8305.13,8408.52,8099.96,8206.15,8206.15,21083613816,BTC,2019-11-19,0.08727895,0.015116942,0.8940999,0.2490933,24542.0,-114.99928288927003,-13.552748068352871,-101.44653482091717
974,2019-11-20,8203.61,8237.24,8010.51,8027.27,8027.27,20764300437,BTC,2019-11-20,0.0885101,0.01360491,0.89444464,0.2701493,25579.0,-154.2335883831147,-41.68891613130525,-112.54467225180944
975,2019-11-21,8023.64,8110.10,7597.38,7642.75,7642.75,22514243371,BTC,2019-11-21,0.08032422,0.015897864,0.8992903,0.2154884,28746.0,-213.8890290021318,-76.12893870547057,-137.76009029666122
976,2019-11-22,7643.57,7697.38,6936.71,7296.58,7296.58,34242315785,BTC,2019-11-22,0.07527358,0.025159378,0.8949647,0.1734468,29333.0,-285.804841122419,-118.06411918886029,-167.74072193355875
977,2019-11-23,7296.16,7442.26,7151.42,7397.80,7397.80,21008924418,BTC,2019-11-23,0.08785273,0.02281746,0.8860229,0.2396403,9072.0,-330.8175732266627,-160.6148099964208,-170.2027632302419
978,2019-11-24,7398.63,7408.58,7029.29,7047.92,7047.92,30433517289,BTC,,,,,,,-390.2246132145847,-206.5367706400536,-183.6878425745311
979,2019-11-25,7039.98,7319.86,6617.17,7146.13,7146.13,42685231262,BTC,,,,,,,-424.4871703194849,-250.1268505759399,-174.360319743545
980,2019-11-26,7145.16,7320.23,7098.57,7218.37,7218.37,21129505542,BTC,,,,,,,-440.73085841797365,-288.24765214434666,-152.483206273627
981,2019-11-27,7220.88,7619.69,6974.17,7531.66,7531.66,23991412764,BTC,,,,,,,-423.44302592057375,-315.2867268995921,-108.15629902098163
982,2019-11-28,7536.82,7730.07,7454.12,7463.11,7463.11,19050116751,BTC,,,,,,,-410.54124232949835,-334.33762998557336,-76.20361234392499
983,2019-11-29,7466.73,7781.18,7460.76,7761.24,7761.24,19709695456,BTC,,,,,,,-371.97202450367604,-341.8645088891939,-30.10751561448211
984,2019-11-30,7764.06,7836.10,7515.85,7569.63,7569.63,17158194786,BTC,,,,,,,-352.8001071244289,-344.05162853624097,-8.748478588187936
985,2019-12-01,7571.62,7571.62,7291.34,7424.29,7424.29,18720708479,BTC,,,,,,,-345.3529341677595,-344.31188966254473,-1.0410445052147566
986,2019-12-02,7424.04,7474.82,7233.40,7321.99,7321.99,17082040706,BTC,,,,,,,-343.7432922881162,-344.19817018765906,0.45487789954285063
987,2019-12-03,7323.98,7418.86,7229.36,7320.15,7320.15,14797485769,BTC,,,,,,,-338.71165500590814,-343.10086715130893,4.389212145400791
988,2019-12-04,7320.13,7539.78,7170.92,7252.03,7252.03,21664240918,BTC,,,,,,,-336.3436012377306,-341.7494139685933,5.405812730862692
989,2019-12-05,7253.24,7743.43,7232.68,7448.31,7448.31,18816085231,BTC,,,,,,,-314.9976491260504,-336.3990610000847,21.401411874034295
990,2019-12-06,7450.56,7547.00,7392.18,7547.00,7547.00,18104466307,BTC,,,,,,,-286.8111892194511,-326.481486643958,39.67029742450694
