,Sum
2019-06-26,2.532861596148841
2019-06-27,2.0557799385896427
2019-06-28,2.374417823054904
2019-06-29,2.2578523950039022
2019-06-30,1.9606325615404625
2019-07-01,1.899737297423887
2019-07-02,1.8428694962269059
2019-07-03,1.5411282003642988
2019-07-04,1.3470527306791567
2019-07-05,1.2853880052042674
2019-07-06,1.225515296383034
2019-07-07,1.1624666625032523
2019-07-08,1.3797738001561277
2019-07-09,1.4546773884985684
2019-07-10,1.3460903991673165
2019-07-11,1.1384790044236266
2019-07-12,1.0194771256830595
2019-07-13,0.9092488092635954
2019-07-14,1.2049345547749144
2019-07-15,1.0386500765027311
2019-07-16,1.4074890663544097
2019-07-17,1.3512410486598998
2019-07-18,1.0981367848035377
2019-07-19,1.133460750455372
2019-07-20,1.0719444272703607
2019-07-21,1.1156691683580526
