,Sum
2019-06-26,2.552349392661981
2019-06-27,2.075267735102783
2019-06-28,2.393905619568044
2019-06-29,2.2773401915170424
2019-06-30,1.9801203580536026
2019-07-01,1.9192250939370272
2019-07-02,1.862357292740046
2019-07-03,1.560615996877439
2019-07-04,1.366540527192297
2019-07-05,1.3048758017174076
2019-07-06,1.2450030928961742
2019-07-07,1.1819544590163924
2019-07-08,1.3992615966692679
2019-07-09,1.4741651850117086
2019-07-10,1.3655781956804567
2019-07-11,1.157966800936767
2019-07-12,1.0389649221961996
2019-07-13,0.9287366057767356
2019-07-14,1.2244223512880545
2019-07-15,1.0581378730158713
2019-07-16,1.42697686286755
2019-07-17,1.37072884517304
2019-07-18,1.1176245813166779
2019-07-19,1.1529485469685123
2019-07-20,1.091432223783501
